nodes,original_algorithm_value
"[1106056856, 1616122178, 1816038224]",[29.0]
"[25496892, 6828921211, 108065]",[None]
"[108896, 4356572311, 1617512815]",[None]
"[5177397828, 11767207, 21665026]",[None]
"[452514269, 21554364, 108033]",[7.0]
"[5532720349, 25472992, 2726836322]",[None]
"[8916255, 287438189, 1707216608]",[None]
"[1707216616, 1106056850, 3439409148]",[9.0]
"[534993866, 107853, 25530033]",[None]
"[108014, 4697525032, 25504262]",[None]
"[1707790106, 1616122145, 109838]",[25.0]
"[7684041427, 1664288171, 13799038]",[None]
"[25471736, 25509525, 25495697]",[None]
"[1617596714, 10616173, 25472347]",[None]
"[109753, 107860, 2726836322]",[None]
"[3085005064, 25471100, 25472326]",[11.0]
"[281454961, 338575323, 6940326497]",[None]
"[338463529, 2975783588, 25503725]",[None]
"[27345499, 6279388822, 21392276]",[None]
"[25476020, 108896, 9054849009]",[3.0]
"[1684437690, 455705618, 1614846711]",[5.0]
"[108065, 9512939, 6724775018]",[None]
"[107686, 25476014, 25503571]",[None]
"[1707790023, 1617647944, 21665132]",[None]
"[1617647896, 25533437, 256794570]",[None]
"[351788581, 1104386162, 1707790023]",[None]
"[1816038224, 25495769, 8481466953]",[None]
"[32925453, 256794589, 1617596669]",[None]
"[21665716, 109757, 25533217]",[None]
"[1617512828, 25529877, 60728182]",[None]
"[1617647901, 1617596593, 25472769]",[None]
"[9475518, 25504190, 60728186]",[None]
"[9522438146, 3807436630, 21665367]",[None]
"[1697813659, 973525136, 1617647944]",[None]
"[21392086, 107828, 1678452811]",[2.0]
"[25472873, 4213129862, 1614846692]",[None]
"[107853, 21563015, 33141178]",[None]
"[107805, 4174200022, 21392286]",[16.0]
"[4367041962, 107807, 1360122937]",[None]
"[473685478, 21665026, 1614846616]",[None]
"[25151183, 1696030874, 25504190]",[None]
"[107708, 25472764, 3140855379]",[None]
"[5265953455, 3439409148, 25470835]",[None]
"[266325842, 25470681, 1188939772]",[None]
"[107835, 107792, 1413151217]",[None]
"[5501130885, 25496762, 5265953457]",[6.0]
"[5454295758, 25472993, 9515387]",[None]
"[25470680, 1678452821, 107839]",[25.0]
"[368279307, 25496800, 21990641]",[None]
"[5265953453, 4650375309, 338463529]",[None]
"[1707216637, 25472769, 26671718]",[None]
"[11544696, 1617532092, 4208239642]",[None]
"[1707790023, 1697813684, 3729004662]",[None]
"[3142630784, 104302, 108896]",[None]
"[25476040, 109836, 109633]",[None]
"[6806740816, 107693, 4174200035]",[None]
"[1617512828, 108398, 25497912]",[None]
"[25468764, 14791182, 5454295758]",[None]
"[1678452820, 25472904, 1637831175]",[None]
"[1587616047, 107734, 25473290]",[10.0]
"[1697813678, 5630569824, 3439409148]",[None]
"[21665248, 25468770, 1360122841]",[None]
"[1614978560, 25468770, 4356572322]",[None]
"[25470835, 21665367, 5177397824]",[None]
"[25533180, 1707216616, 25471100]",[None]
"[1617512819, 9475520, 7684041426]",[None]
"[9512922, 438170616, 10574748]",[None]
"[21665367, 27345499, 1614926340]",[None]
"[1707216628, 11767207, 455705618]",[None]
"[25533321, 25544119, 1106056850]",[5.0]
"[973525755, 14791182, 10572786]",[None]
"[25529938, 1188939772, 1614846692]",[None]
"[256794571, 1707216642, 25471100]",[None]
"[3140855372, 255747733, 107733]",[None]
"[256794572, 3895422567, 1843345666]",[12.0]
"[2094955592, 256794589, 25151183]",[None]
"[25529877, 10574748, 25472027]",[8.0]
"[25472326, 1106056856, 25475924]",[None]
"[281454961, 109634, 25472893]",[None]
"[25471100, 534993850, 21554363]",[None]
"[25497912, 1364168178, 1816038230]",[None]
"[25472854, 5986763688, 8481466953]",[6.0]
"[3140855379, 1616122237, 25475924]",[None]
"[104302, 1617647944, 2390036493]",[None]
"[21665031, 108901, 25495545]",[15.0]
"[1360122937, 25472873, 21665081]",[None]
"[1614846692, 108902, 25533180]",[None]
"[25503703, 9512917, 107829]",[None]
"[13799039, 1707216646, 14672924]",[None]
"[21665081, 25468771, 1697813697]",[None]
"[1139318714, 1707216642, 1616122237]",[15.0]
"[1617512815, 27345499, 1697813681]",[None]
"[1616122178, 25533203, 107835]",[9.0]
"[21554364, 255747713, 5265953459]",[None]
"[107805, 4356572311, 25472993]",[14.0]
"[107792, 25474751, 107668]",[None]
"[107843, 1697813677, 9512939]",[None]
"[25470681, 108014, 3085005064]",[None]
"[109757, 13491058, 4474765621]",[None]
"[1707216624, 107698, 7203717550]",[None]
"[25544120, 1707216608, 338575323]",[None]
"[107864, 25476020, 21583361]",[None]
"[500486430, 13799038, 1106056856]",[None]
"[2140823631, 256794571, 25472906]",[None]
"[338463530, 4421008555, 21563479]",[None]
"[107777, 473685478, 25496854]",[None]
"[6214704100, 5454295758, 1106056861]",[None]
"[25472992, 2726836322, 1614978560]",[None]
"[25471371, 1678452728, 9515387]",[None]
"[5177397824, 25504263, 107791]",[None]
"[256794593, 1614949585, 21554368]",[14.0]
"[25468768, 25476014, 25472764]",[None]
"[455705618, 108404, 25471371]",[None]
"[25504193, 25495822, 107843]",[None]
"[4530270906, 770549936, 25472672]",[None]
"[25476041, 919682930, 25468764]",[None]
"[25533203, 107860, 21392279]",[None]
"[1614846692, 2975783588, 12237913]",[None]
"[4697525032, 1139318692, 2389983771]",[0]
"[1617647901, 1104473061, 25507047]",[None]
"[1694551549, 1697813677, 25473290]",[19.0]
"[14791190, 21665590, 1188939772]",[None]
"[25476022, 1617512823, 256794572]",[None]
"[7256356296, 14791190, 107734]",[None]
"[5265953459, 25375960, 21686573]",[None]
"[25468770, 14866466, 9476442]",[None]
"[5006063176, 1106056861, 25471098]",[None]
"[4034060018, 266325462, 25472327]",[None]
"[25497912, 456363903, 25472854]",[None]
"[4034060017, 1936084669, 452486132]",[None]
"[8908572781, 25476040, 108902]",[None]
"[109625, 12446952, 1816038211]",[None]
"[3140855387, 1188939772, 21665578]",[None]
"[107855, 21665588, 107838]",[None]
"[25472992, 25472893, 21565338]",[None]
"[32921720, 107838, 25375812]",[None]
"[3142630784, 973525143, 4213129862]",[None]
"[5521427550, 2390008569, 5207477021]",[8.0]
"[25474658, 1617532089, 25475924]",[None]
"[1938580050, 25470679, 5517569293]",[12.0]
"[3140855379, 25533129, 25375958]",[None]
"[4421008555, 7256401861, 5177352923]",[None]
"[3895422567, 25472888, 25476020]",[None]
"[21590630, 914264963, 25504262]",[None]
"[25503654, 4474765621, 60728181]",[None]
"[25468769, 25496787, 9475528]",[None]
"[1707790107, 3439409148, 1614949613]",[None]
"[973525755, 108033, 9526047354]",[None]
"[1614846702, 6940326497, 25533203]",[None]
"[2058516819, 1617532092, 107848]",[None]
"[25472330, 6279388822, 8972536362]",[None]
"[4689775124, 4208239642, 452514269]",[None]
"[1697813659, 25472888, 25496851]",[None]
"[622003574, 1104386162, 5177397825]",[None]
"[108400, 14791174, 25496788]",[None]
"[10572786, 4208239642, 438170606]",[None]
"[266325462, 25509525, 25533129]",[None]
"[2623975694, 1697772135, 14727254]",[None]
"[25533438, 1637831175, 107715]",[None]
"[3729004662, 25503579, 21665135]",[None]
"[1697813698, 14791174, 534993850]",[None]
"[1104496316, 21665589, 366518767]",[None]
"[1707216624, 21665585, 25503513]",[None]
"[107829, 5986763688, 3810553686]",[13.0]
"[25472326, 4211515634, 8783938010]",[2.0]
"[25504191, 1413151217, 1103212861]",[None]
"[25495697, 21665714, 2493654751]",[None]
"[8972536362, 26374229, 5426506500]",[None]
"[21686572, 6724775012, 25472766]",[5.0]
"[107801, 21665140, 21686578]",[None]
"[25471371, 9054849009, 25503700]",[5.0]
"[6940326497, 293864446, 5177352923]",[None]
"[338569568, 7684041426, 13250138]",[None]
"[107863, 107737, 1617647901]",[None]
"[4034060018, 25507047, 25475924]",[None]
"[1106056866, 25472672, 1637789608]",[None]
"[107801, 107763, 21704021]",[None]
"[9620045688, 107736, 25496850]",[None]
"[26559655, 1678452727, 107693]",[None]
"[6279388821, 2493654751, 4879371166]",[None]
"[973525755, 1707216624, 107829]",[None]
"[107807, 109836, 4421008566]",[6.0]
"[6279388821, 1707216628, 622003574]",[None]
"[12354836, 1617596591, 25470697]",[4.0]
"[338569568, 1645813888, 5265953455]",[None]
"[25470697, 1678452814, 21665589]",[None]
"[1678452727, 109625, 1106056861]",[None]
"[25496814, 21392286, 3439409148]",[None]
"[1617532092, 1707216642, 7261577394]",[None]
"[25476036, 595709975, 500486430]",[None]
"[6173783039, 4421008555, 12446952]",[None]
"[1697813659, 25496814, 25472348]",[None]
"[4421008566, 1664288171, 452486132]",[11.0]
"[1106056861, 3140855372, 25473290]",[None]
"[2586635284, 108400, 1697813659]",[None]
"[9512937, 6279388824, 1953202903]",[15.0]
"[21665588, 1637789608, 266325841]",[None]
"[108014, 108404, 25378119]",[0]
"[456363903, 1617512849, 919682930]",[None]
"[1678452811, 1617512849, 21686578]",[None]
"[2390008569, 438170606, 761831000]",[48.0]
"[1106056866, 11510323, 6287158541]",[None]
"[4650375309, 2623975694, 455705622]",[None]
"[25496851, 107855, 1697772135]",[None]
"[256794572, 25375955, 1697813697]",[20.0]
"[25529877, 21665361, 6173783033]",[None]
"[107735, 104302, 25496750]",[None]
"[107853, 1106056850, 1697813698]",[None]
"[9526047354, 25474661, 2390036493]",[None]
"[107848, 4689775126, 25503701]",[None]
"[6724775012, 9476442, 1413151217]",[None]
"[9398094483, 21665714, 5426506500]",[None]
"[9526047354, 622003574, 25503701]",[None]
"[25496899, 4115887296, 33141178]",[None]
"[9475528, 14866466, 109633]",[None]
"[25471086, 25533217, 1617596593]",[None]
"[26671724, 107839, 7256401861]",[None]
"[107716, 25503651, 1616122178]",[None]
"[25503707, 25473004, 1617596606]",[None]
"[109838, 282569739, 2058516819]",[None]
"[21665716, 1617512815, 108400]",[None]
"[107715, 25474676, 281455009]",[None]
"[14672924, 25504199, 3328228994]",[None]
"[1955520879, 21665247, 6214704100]",[None]
"[353282071, 256794570, 107856]",[None]
"[1678452728, 452514269, 1617532092]",[None]
"[107668, 25470835, 25503707]",[None]
"[25504191, 1816038230, 1707790077]",[None]
"[26671718, 1816038211, 4034060018]",[None]
"[21392279, 25468769, 281454959]",[None]
"[353282071, 14727254, 264515752]",[None]
"[25529877, 25507047, 4208239642]",[None]
"[6724775018, 107791, 1697813698]",[None]
"[21686574, 27345499, 1616122145]",[None]
"[264515752, 2975783588, 21590614]",[None]
"[1678452807, 452486137, 109757]",[3.0]
"[4689775124, 26671734, 5426506500]",[None]
"[1617647934, 25472348, 109838]",[None]
"[21392267, 7639001106, 1678452820]",[None]
"[25377946, 5177397828, 108400]",[None]
"[456363903, 107734, 1696030874]",[8.0]
"[26630792, 4174200034, 256794571]",[None]
"[1637789608, 25474676, 25472766]",[None]
"[2726836322, 26573667, 914264963]",[None]
"[12237913, 25472027, 25503707]",[None]
"[6279388824, 2058516819, 5006063176]",[None]
"[12354836, 25468756, 968291529]",[5.0]
"[107851, 1614978560, 25468768]",[12.0]
"[25472873, 5207477021, 21665719]",[None]
"[25151183, 10574891, 1106056861]",[7.0]
"[1694551553, 3729004662, 534993850]",[None]
"[107860, 255747714, 26848675]",[None]
"[281455009, 3142630784, 21665716]",[37.0]
"[281455009, 4034060018, 25474662]",[None]
"[25471100, 25470679, 11544695]",[7.0]
"[12446952, 107791, 107792]",[None]
"[6828921211, 25468770, 919682930]",[8.0]
"[9846850974, 1614846692, 107839]",[None]
"[1617596711, 1645813888, 107805]",[16.0]
"[7725745987, 8972536362, 2975783588]",[None]
"[5177397822, 108014, 4034060018]",[None]
"[1614846683, 9475519, 281455009]",[25.0]
"[5986562231, 5034506700, 26848675]",[None]
"[3142630784, 108014, 21665714]",[None]
"[1104496326, 11544696, 25476020]",[None]
"[25533132, 10572785, 3807436630]",[None]
"[266325842, 5986562231, 25497392]",[None]
"[25471100, 1360122841, 1707790074]",[None]
"[7050696569, 1139318714, 6279388824]",[None]
"[25472654, 7261577394, 1664288171]",[None]
"[919682930, 107791, 1953202903]",[None]
"[25468770, 5265953453, 5336220111]",[None]
"[452486132, 107855, 9512939]",[None]
"[8752950708, 25503716, 26559582]",[None]
"[25470678, 25503707, 5517569293]",[6.0]
"[5265953455, 1614978621, 21665009]",[None]
"[25496788, 25475612, 13799038]",[None]
"[2390036493, 14791174, 25496780]",[36.0]
"[1678452727, 6277683849, 2726834609]",[None]
"[26374236, 5454295758, 3439409148]",[None]
"[1678452807, 21665367, 2390036493]",[None]
"[21392276, 25472347, 21665006]",[None]
"[1678452727, 21665578, 500486430]",[13.0]
"[5177397822, 25497910, 9475520]",[None]
"[456363903, 6214704100, 5932883504]",[None]
"[107708, 1938580050, 25497912]",[None]
"[25497912, 21686573, 25504190]",[None]
"[9475519, 761831000, 9475520]",[None]
"[5034506700, 25472874, 25497910]",[None]
"[25474662, 7039932114, 534993869]",[None]
"[25504199, 25476022, 3140855372]",[None]
"[1617512849, 1166559044, 25529877]",[None]
"[21554368, 6214704100, 2390008569]",[20.0]
"[2453947049, 25474751, 6214704108]",[None]
"[25472854, 25496783, 25471100]",[None]
"[25470680, 1678452727, 6287158541]",[None]
"[12354836, 353282071, 21665716]",[None]
"[338463529, 107806, 366518767]",[None]
"[25503571, 25530033, 25468756]",[None]
"[25471086, 1104496316, 25510321]",[None]
"[2390036493, 21704021, 1104496316]",[13.0]
"[6287158541, 1617512826, 8916255]",[None]
"[107838, 9475519, 25472654]",[None]
"[25472993, 7039932114, 7050696569]",[None]
"[3140855372, 1360122841, 256794589]",[None]
"[2117475741, 11767207, 1707216624]",[None]
"[5265953453, 25530034, 351788581]",[None]
"[7162259986, 1637789608, 107853]",[None]
"[25376002, 7162259986, 5532720349]",[13.0]
"[1664288171, 1614949580, 534993850]",[None]
"[438170606, 1697813684, 108905]",[None]
"[1139318692, 25151180, 7256401861]",[None]
"[25472757, 25470697, 25503703]",[None]
"[1614846711, 1697813684, 1697813698]",[None]
"[2390008569, 33141178, 26573672]",[None]
"[2476787985, 1697813684, 18495598]",[None]
"[1614949580, 11544695, 1106056861]",[None]
"[107791, 25375960, 1678452728]",[None]
"[3142630784, 25470697, 1678452745]",[11.0]
"[9526047354, 25474664, 25472762]",[None]
"[10534456, 104312, 9475518]",[None]
"[107735, 353282071, 25472027]",[None]
"[281455009, 26699565, 25472327]",[None]
"[1707790024, 21392089, 282569739]",[None]
"[21392276, 5177397822, 7261577394]",[27.0]
"[25496857, 1678452745, 25620550]",[14.0]
"[25472672, 25496783, 5177352923]",[None]
"[25503716, 5177397822, 1617647900]",[None]
"[11767207, 4115887296, 25375812]",[None]
"[1614978621, 25472672, 761831000]",[None]
"[9512917, 9287396538, 25376002]",[None]
"[1678452820, 21665081, 1678452811]",[None]
"[21392100, 21665006, 4474765621]",[None]
"[21686574, 6863503678, 25470679]",[None]
"[973525143, 9306709751, 21564825]",[None]
"[1678452814, 1678452727, 4115887296]",[None]
"[1955520879, 107734, 25497392]",[None]
"[9512922, 1614846692, 21583361]",[None]
"[6277683849, 1104473062, 6606148798]",[None]
"[25620550, 11544695, 25507047]",[None]
"[1364168178, 21665026, 1360122841]",[None]
"[26573670, 25474664, 25530312]",[None]
"[3439409148, 25497912, 1587616047]",[None]
"[1104473062, 107830, 108017]",[8.0]
"[25376002, 107829, 8481522617]",[9.0]
"[1617512815, 7725745987, 14866466]",[None]
"[60728182, 25472888, 21665585]",[None]
"[25375955, 3810553686, 9512915]",[None]
"[25504200, 25544138, 25496783]",[30.0]
"[25529933, 237908, 1617647900]",[None]
"[6586653170, 21665578, 1707790096]",[None]
"[25151183, 1697772135, 9475528]",[20.0]
"[1938580050, 5986562231, 1955520890]",[None]
"[108400, 25471736, 1707790096]",[None]
"[108017, 1106056850, 1843345666]",[None]
"[25472654, 107863, 293864446]",[0]
"[1617532091, 25504189, 109806]",[None]
"[107806, 281454959, 5454295758]",[None]
"[452486137, 104312, 4530339698]",[None]
"[25496892, 25468764, 21665135]",[None]
"[14791190, 26671718, 5339077112]",[None]
"[1707216624, 2453947049, 368279307]",[None]
"[25472888, 107839, 761831060]",[None]
"[7203717550, 338463529, 1617647931]",[None]
"[1616122178, 353282071, 3267461729]",[None]
"[21590630, 5501130885, 1707790074]",[None]
"[345863907, 25375812, 770549936]",[None]
"[1678452823, 25504421, 109806]",[10.0]
"[25472759, 1696030874, 7840712839]",[None]
"[107763, 25378117, 1611771529]",[5.0]
"[25473048, 2725915874, 21665716]",[4.0]
"[452486132, 973525136, 107790]",[None]
"[455705618, 6214704100, 1678452811]",[None]
"[1707790076, 1274040745, 4174200034]",[None]
"[1614846675, 107848, 266325462]",[None]
"[6287158541, 25476014, 25497910]",[None]
"[25529877, 9512922, 108905]",[None]
"[622003574, 107716, 107697]",[None]
"[21665581, 109633, 25533217]",[8.0]
"[25503707, 25472027, 25530034]",[None]
"[107836, 9522806805, 6828921211]",[None]
"[32925453, 10607626, 109838]",[None]
"[338463530, 1587616047, 107786]",[29.0]
"[1617512823, 9475520, 25533217]",[None]
"[1617596714, 25530034, 2725915891]",[None]
"[25474661, 25472672, 1955520879]",[None]
"[8784071419, 11544696, 6060084833]",[None]
"[1614949613, 25495769, 25376002]",[None]
"[107843, 9576767098, 1614978621]",[8.0]
"[338463529, 4356572322, 9515368]",[None]
"[25533203, 1614846683, 1614926320]",[None]
"[6863503678, 264515752, 351788581]",[None]
"[1614846675, 338575323, 1614926320]",[None]
"[1106056856, 26630839, 1816038230]",[None]
"[968291529, 266325843, 5501130885]",[None]
"[25470679, 21665361, 2390008569]",[None]
"[25504191, 107863, 1617647944]",[None]
"[1678452728, 21665009, 14791186]",[None]
"[4367041962, 1616122145, 108901]",[None]
"[1614978560, 1707790023, 266325462]",[None]
"[109634, 2390005223, 1678452745]",[5.0]
"[1617647934, 21665581, 21665590]",[None]
"[60728186, 21990641, 21665009]",[None]
"[1707790024, 366518767, 7261577394]",[None]
"[2726836322, 1707216624, 1617596593]",[None]
"[21564825, 21704017, 21583363]",[None]
"[25474676, 1614949613, 5986763688]",[10.0]
"[9512939, 455705618, 3142630784]",[None]
"[25468768, 914264963, 21665006]",[None]
"[25472854, 7039932114, 1617512823]",[None]
"[1707216789, 1104496316, 1810130458]",[None]
"[21665140, 5986562231, 5907366887]",[None]
"[7725745987, 26671719, 25474661]",[None]
"[25470681, 25468764, 25472904]",[None]
"[8916255, 25496850, 5177397825]",[None]
"[14791193, 25472758, 1955520879]",[16.0]
"[14791174, 25503657, 1106056861]",[None]
"[25496787, 5374174120, 1616122145]",[None]
"[455705622, 25496762, 1678452745]",[None]
"[534993869, 25474661, 266325842]",[None]
"[9515368, 21665589, 3729004662]",[None]
"[3933712866, 25468768, 5932883504]",[14.0]
"[5630569824, 25474662, 25472026]",[None]
"[107801, 6940326498, 5177397828]",[None]
"[25472026, 1816038211, 25533180]",[None]
"[25472672, 25533437, 4208239642]",[25.0]
"[25504191, 21665585, 108899]",[None]
"[7684041426, 1694551549, 25472993]",[None]
"[21554368, 4367041962, 107855]",[None]
"[1614949613, 473685478, 107708]",[None]
"[21590614, 3062596144, 25533129]",[None]
"[26671734, 9512939, 107801]",[None]
"[21554363, 8916255, 5986763688]",[None]
"[10574748, 14791193, 1678452807]",[None]
"[1678452745, 9515377, 25378124]",[None]
"[1614978560, 25495697, 25503703]",[None]
"[25468769, 25377946, 1707790096]",[None]
"[13799038, 1707216902, 14804196]",[None]
"[21392273, 1104473062, 26671730]",[None]
"[7684041427, 1694551553, 107716]",[None]
"[1106056861, 25522907, 9522532106]",[None]
"[25503513, 5207477021, 21392279]",[None]
"[5630569824, 11544697, 255747733]",[None]
"[266325462, 21665716, 3140855378]",[None]
"[21665031, 1614846616, 1684437690]",[None]
"[345863907, 1617512849, 25496851]",[None]
"[25510321, 456363900, 9846850974]",[None]
"[25476014, 622003574, 770549936]",[None]
"[1617512815, 7256401861, 7639001106]",[None]
"[21554364, 25529877, 1955520890]",[None]
"[25476040, 4689775126, 21686575]",[7.0]
"[1678452727, 25496850, 5932959891]",[12.0]
"[5454295758, 21686575, 13799038]",[None]
"[1614949613, 2726834609, 6214704100]",[13.0]
